epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
149,2786.21,1.42736,0.86571,0.00328,0.54285,0.53867,0.46461,0.26864,1.60477,1.4363,0.00466,0.0035348,0.0035348,0.0035348
150,2804.61,1.50927,0.85615,0.00327,0.68909,0.47989,0.50909,0.27401,1.63646,1.43767,0.00456,0.0035249,0.0035249,0.0035249
151,2823,1.46262,0.90538,0.00336,0.71192,0.49457,0.55711,0.31328,1.59477,1.37246,0.00491,0.003515,0.003515,0.003515
152,2841.2,1.47886,0.92024,0.00348,0.65903,0.5664,0.57118,0.30389,1.64449,1.43784,0.00525,0.0035051,0.0035051,0.0035051
153,2860.58,1.47375,0.85464,0.00323,0.72533,0.40423,0.51012,0.2899,1.54465,1.48146,0.00478,0.0034952,0.0034952,0.0034952
154,2879.43,1.49207,0.85257,0.00309,0.71315,0.59934,0.57814,0.31684,1.59214,1.29967,0.00488,0.0034853,0.0034853,0.0034853
155,2897.41,1.45041,0.85243,0.00294,0.5996,0.54402,0.49537,0.30594,1.55636,1.34778,0.00483,0.0034754,0.0034754,0.0034754
156,2915.81,1.44837,0.87686,0.00321,0.63165,0.53835,0.48103,0.26194,1.62491,1.40797,0.00489,0.0034655,0.0034655,0.0034655
157,2934.36,1.43077,0.85538,0.00303,0.64406,0.57755,0.52285,0.28322,1.63985,1.40587,0.0054,0.0034556,0.0034556,0.0034556
158,2953.92,1.39818,0.79337,0.00303,0.64302,0.5434,0.54618,0.33145,1.66615,1.41292,0.00535,0.0034457,0.0034457,0.0034457
159,2973.64,1.41576,0.81331,0.00304,0.75738,0.5434,0.56378,0.31706,1.58223,1.5238,0.00484,0.0034358,0.0034358,0.0034358
160,2991.77,1.36535,0.79762,0.00278,0.63857,0.63677,0.55748,0.30254,1.60478,1.36111,0.00491,0.0034259,0.0034259,0.0034259
161,3010.07,1.47202,0.80369,0.00305,0.62977,0.5434,0.53129,0.31318,1.45005,1.43357,0.00393,0.003416,0.003416,0.003416
162,3028.22,1.37495,0.82096,0.00312,0.67903,0.612,0.59046,0.34714,1.57552,1.34348,0.00459,0.0034061,0.0034061,0.0034061
163,3047.45,1.49698,0.88667,0.00333,0.83307,0.45004,0.5498,0.33017,1.5325,1.26714,0.00444,0.0033962,0.0033962,0.0033962
164,3066.46,1.35405,0.81566,0.0029,0.70241,0.5216,0.55005,0.33037,1.49248,1.34319,0.00417,0.0033863,0.0033863,0.0033863
165,3084.33,1.40117,0.89,0.00313,0.6482,0.47995,0.50296,0.2952,1.48123,1.42011,0.00407,0.0033764,0.0033764,0.0033764
166,3102.56,1.39888,0.84543,0.003,0.66819,0.56983,0.53893,0.3007,1.47059,1.44776,0.00406,0.0033665,0.0033665,0.0033665
167,3120.68,1.37184,0.77534,0.00297,0.64648,0.55285,0.53328,0.30348,1.42212,1.34233,0.00371,0.0033566,0.0033566,0.0033566
168,3139.06,1.46986,0.86743,0.00341,0.56803,0.53585,0.53128,0.33173,1.49564,1.40246,0.00401,0.0033467,0.0033467,0.0033467
169,3158.35,1.33431,0.79866,0.00279,0.66119,0.59317,0.57625,0.34847,1.53715,1.19836,0.00436,0.0033368,0.0033368,0.0033368
170,3176.81,1.36499,0.83075,0.00297,0.6635,0.5416,0.5778,0.35353,1.44899,1.29083,0.0041,0.0033269,0.0033269,0.0033269
171,3195.13,1.4455,0.79123,0.00307,0.60705,0.57755,0.5427,0.30982,1.51578,1.27542,0.0043,0.003317,0.003317,0.003317
172,3213.21,1.40391,0.79812,0.00309,0.70049,0.57562,0.57468,0.32396,1.47655,1.29969,0.00398,0.0033071,0.0033071,0.0033071
173,3231.3,1.40957,0.9178,0.0029,0.80064,0.52488,0.58423,0.31622,1.45233,1.30399,0.00384,0.0032972,0.0032972,0.0032972
174,3250.51,1.3868,0.81919,0.00308,0.78461,0.53434,0.59148,0.31527,1.53139,1.17846,0.00438,0.0032873,0.0032873,0.0032873
175,3269.12,1.32964,0.72829,0.00287,0.74759,0.5216,0.56622,0.32624,1.48952,1.32487,0.00411,0.0032774,0.0032774,0.0032774
176,3287.12,1.43856,0.82633,0.00303,0.62333,0.56931,0.51212,0.2938,1.50905,1.44267,0.00425,0.0032675,0.0032675,0.0032675
177,3305.19,1.3631,0.81706,0.00294,0.66689,0.60262,0.59108,0.35674,1.47157,1.4657,0.00418,0.0032576,0.0032576,0.0032576
178,3323.62,1.37841,0.74883,0.00304,0.70514,0.54012,0.56171,0.32436,1.50262,1.39873,0.00427,0.0032477,0.0032477,0.0032477
